   8: T1_FARM_CARROT_SEED                                              : Carrot Seeds
1137: T6_CLOTH_LEVEL1@1                                                : Uncommon Lavish Cloth
1138: T7_CLOTH_LEVEL1@1                                                : Uncommon Opulent Cloth
1139: T8_CLOTH_LEVEL1@1                                                : Uncommon Baroque Cloth
1140: T4_CLOTH_LEVEL2@2                                                : Rare Fine Cloth
1141: T5_CLOTH_LEVEL2@2                                                : Rare Ornate Cloth
1142: T6_CLOTH_LEVEL2@2                                                : Rare Lavish Cloth
1143: T7_CLOTH_LEVEL2@2                                                : Rare Opulent Cloth
1144: T8_CLOTH_LEVEL2@2                                                : Rare Baroque Cloth
1145: T4_CLOTH_LEVEL3@3                                                : Exceptional Fine Cloth
1146: T5_CLOTH_LEVEL3@3                                                : Exceptional Ornate Cloth
1147: T6_CLOTH_LEVEL3@3                                                : Exceptional Lavish Cloth
1148: T7_CLOTH_LEVEL3@3                                                : Exceptional Opulent Cloth
1149: T8_CLOTH_LEVEL3@3                                                : Exceptional Baroque Cloth
1150: T4_CLOTH_LEVEL4@4                                                : Pristine Fine Cloth
1151: T5_CLOTH_LEVEL4@4                                                : Pristine Ornate Cloth
1152: T6_CLOTH_LEVEL4@4                                                : Pristine Lavish Cloth
1153: T7_CLOTH_LEVEL4@4                                                : Pristine Opulent Cloth
1154: T8_CLOTH_LEVEL4@4                                                : Pristine Baroque Cloth
1877: T4_RUNE                                                          : Adept's Rune
1878: T4_SOUL                                                          : Adept's Soul
1879: T4_RELIC                                                         : Adept's Relic
1880: T4_SHARD_AVALONIAN                                               : Adept's Avalonian Shard
1881: T4_SHARD_CRYSTAL                                                 : Adept's Crystal Shard
1882: T5_ESSENCE_POTION                                                : Expert's Arcane Essence
1883: T5_ESSENCE                                                       : Expert's Faded Essence
1884: T5_RUNE                                                          : Expert's Rune
1885: T5_SOUL                                                          : Expert's Soul
1886: T5_RELIC                                                         : Expert's Relic
1887: T5_SHARD_AVALONIAN                                               : Expert's Avalonian Shard
1888: T5_SHARD_CRYSTAL                                                 : Expert's Crystal Shard
1889: T6_ESSENCE_POTION                                                : Master's Arcane Essence
1890: T6_ESSENCE                                                       : Master's Faded Essence
1891: T6_RUNE                                                          : Master's Rune
1892: T6_SOUL                                                          : Master's Soul
1893: T6_RELIC                                                         : Master's Relic
1894: T6_SHARD_AVALONIAN                                               : Master's Avalonian Shard
1895: T6_SHARD_CRYSTAL                                                 : Master's Crystal Shard
1896: T7_ESSENCE_POTION                                                : Grandmaster's Arcane Essence
1897: T7_ESSENCE                                                       : Grandmaster's Faded Essence
1898: T7_RUNE                                                          : Grandmaster's Rune
1899: T7_SOUL                                                          : Grandmaster's Soul
1900: T7_RELIC                                                         : Grandmaster's Relic
1901: T7_SHARD_AVALONIAN                                               : Grandmaster's Avalonian Shard
1902: T7_SHARD_CRYSTAL                                                 : Grandmaster's Crystal Shard
1903: T8_ESSENCE_POTION                                                : Elder's Arcane Essence
1904: T8_ESSENCE                                                       : Elder's Faded Essence
1905: T8_RUNE                                                          : Elder's Rune
1906: T8_SOUL                                                          : Elder's Soul
1907: T8_RELIC                                                         : Elder's Relic
1908: T8_SHARD_AVALONIAN                                               : Elder's Avalonian Shard
1909: T8_SHARD_CRYSTAL                                                 : Elder's Crystal Shard
