1155: T4_ARTEFACT_2H_ARCANESTAFF_HELL                                  : Adept's Occult Orb
1439: T7_ARTEFACT_MAIN_NATURESTAFF_AVALON                              : Grandmaster's Uprooted Perennial Sapling
1440: T8_ARTEFACT_2H_DAGGER_KATAR_AVALON                               : Elder's Bloodstained Antiquities
1441: T8_ARTEFACT_MAIN_SPEAR_LANCE_AVALON                              : Elder's Ruined Ancestral Vamplate
1442: T8_ARTEFACT_2H_AXE_AVALON                                        : Elder's Avalonian Battle Memoir
1443: T8_ARTEFACT_2H_CLAYMORE_AVALON                                   : Elder's Remnants of the Old King
1444: T8_ARTEFACT_2H_QUARTERSTAFF_AVALON                               : Elder's Timeworn Walking Staff
1445: T8_ARTEFACT_2H_HAMMER_AVALON                                     : Elder's Massive Metallic Hand
1446: T8_ARTEFACT_2H_DUALMACE_AVALON                                   : Elder's Broken Oaths
1447: T8_ARTEFACT_2H_BOW_AVALON                                        : Elder's Immaculately Crafted Riser
1448: T8_ARTEFACT_2H_CROSSBOW_CANNON_AVALON                            : Elder's Humming Avalonian Whirligig
1449: T8_ARTEFACT_MAIN_CURSEDSTAFF_AVALON                              : Elder's Fractured Opaque Orb
1450: T8_ARTEFACT_2H_FIRE_RINGPAIR_AVALON                              : Elder's Glowing Harmonic Ring
1451: T8_ARTEFACT_MAIN_FROSTSTAFF_AVALON                               : Elder's Chilled Crystalline Shard
1452: T8_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON                            : Elder's Hypnotic Harmonic Ring
1453: T8_ARTEFACT_MAIN_HOLYSTAFF_AVALON                                : Elder's Messianic Curio
1454: T8_ARTEFACT_MAIN_NATURESTAFF_AVALON                              : Elder's Uprooted Perennial Sapling
1455: T4_ARTEFACT_2H_KNUCKLES_KEEPER                                   : Adept's Ursine Guardian Remains
1456: T5_ARTEFACT_2H_KNUCKLES_KEEPER                                   : Expert's Ursine Guardian Remains
1457: T6_ARTEFACT_2H_KNUCKLES_KEEPER                                   : Master's Ursine Guardian Remains
1458: T7_ARTEFACT_2H_KNUCKLES_KEEPER                                   : Grandmaster's Ursine Guardian Remains
1459: T8_ARTEFACT_2H_KNUCKLES_KEEPER                                   : Elder's Ursine Guardian Remains
1460: T4_ARTEFACT_2H_KNUCKLES_HELL                                     : Adept's Severed Demonic Horns
1461: T5_ARTEFACT_2H_KNUCKLES_HELL                                     : Expert's Severed Demonic Horns
1462: T6_ARTEFACT_2H_KNUCKLES_HELL                                     : Master's Severed Demonic Horns
1463: T7_ARTEFACT_2H_KNUCKLES_HELL                                     : Grandmaster's Severed Demonic Horns
1464: T8_ARTEFACT_2H_KNUCKLES_HELL                                     : Elder's Severed Demonic Horns
1465: T4_ARTEFACT_2H_KNUCKLES_MORGANA                                  : Adept's Warped Raven Plate
1466: T5_ARTEFACT_2H_KNUCKLES_MORGANA                                  : Expert's Warped Raven Plate
1467: T6_ARTEFACT_2H_KNUCKLES_MORGANA                                  : Master's Warped Raven Plate
1468: T7_ARTEFACT_2H_KNUCKLES_MORGANA                                  : Grandmaster's Warped Raven Plate
1469: T8_ARTEFACT_2H_KNUCKLES_MORGANA                                  : Elder's Warped Raven Plate
1470: T4_ARTEFACT_2H_KNUCKLES_AVALON                                   : Adept's Damaged Avalonian Gauntlet
1471: T5_ARTEFACT_2H_KNUCKLES_AVALON                                   : Expert's Damaged Avalonian Gauntlet
1472: T6_ARTEFACT_2H_KNUCKLES_AVALON                                   : Master's Damaged Avalonian Gauntlet
1473: T7_ARTEFACT_2H_KNUCKLES_AVALON                                   : Grandmaster's Damaged Avalonian Gauntlet
1474: T8_ARTEFACT_2H_KNUCKLES_AVALON                                   : Elder's Damaged Avalonian Gauntlet
1475: T4_ARTEFACT_MAIN_DAGGER_HELL                                     : Adept's Broken Demonic Fang
1476: T5_ARTEFACT_MAIN_DAGGER_HELL                                     : Expert's Broken Demonic Fang
1477: T6_ARTEFACT_MAIN_DAGGER_HELL                                     : Master's Broken Demonic Fang
1478: T7_ARTEFACT_MAIN_DAGGER_HELL                                     : Grandmaster's Broken Demonic Fang
1479: T8_ARTEFACT_MAIN_DAGGER_HELL                                     : Elder's Broken Demonic Fang
1480: T4_ARTEFACT_2H_SHAPESHIFTER_MORGANA                              : Adept's Werewolf Remnant
1481: T5_ARTEFACT_2H_SHAPESHIFTER_MORGANA                              : Expert's Werewolf Remnant
1482: T6_ARTEFACT_2H_SHAPESHIFTER_MORGANA                              : Master's Werewolf Remnant
1483: T7_ARTEFACT_2H_SHAPESHIFTER_MORGANA                              : Grandmaster's Werewolf Remnant
1484: T8_ARTEFACT_2H_SHAPESHIFTER_MORGANA                              : Elder's Werewolf Remnant
1485: T4_ARTEFACT_2H_SHAPESHIFTER_HELL                                 : Adept's Hellfire Imp Remnant
1486: T5_ARTEFACT_2H_SHAPESHIFTER_HELL                                 : Expert's Hellfire Imp Remnant
1487: T6_ARTEFACT_2H_SHAPESHIFTER_HELL                                 : Master's Hellfire Imp Remnant
1488: T7_ARTEFACT_2H_SHAPESHIFTER_HELL                                 : Grandmaster's Hellfire Imp Remnant
1489: T8_ARTEFACT_2H_SHAPESHIFTER_HELL                                 : Elder's Hellfire Imp Remnant
1490: T4_ARTEFACT_2H_SHAPESHIFTER_KEEPER                               : Adept's Runestone Golem Remnant
1491: T5_ARTEFACT_2H_SHAPESHIFTER_KEEPER                               : Expert's Runestone Golem Remnant
1492: T6_ARTEFACT_2H_SHAPESHIFTER_KEEPER                               : Master's Runestone Golem Remnant
1493: T7_ARTEFACT_2H_SHAPESHIFTER_KEEPER                               : Grandmaster's Runestone Golem Remnant
1494: T8_ARTEFACT_2H_SHAPESHIFTER_KEEPER                               : Elder's Runestone Golem Remnant
1495: T4_ARTEFACT_2H_SHAPESHIFTER_AVALON                               : Adept's Dawnbird Remnant
1496: T5_ARTEFACT_2H_SHAPESHIFTER_AVALON                               : Expert's Dawnbird Remnant
1497: T6_ARTEFACT_2H_SHAPESHIFTER_AVALON                               : Master's Dawnbird Remnant
1498: T7_ARTEFACT_2H_SHAPESHIFTER_AVALON                               : Grandmaster's Dawnbird Remnant
1499: T8_ARTEFACT_2H_SHAPESHIFTER_AVALON                               : Elder's Dawnbird Remnant
1500: T4_ARTEFACT_2H_GLAIVE_CRYSTAL                                    : Adept's Rift Crystal
1501: T5_ARTEFACT_2H_GLAIVE_CRYSTAL                                    : Expert's Rift Crystal
1502: T6_ARTEFACT_2H_GLAIVE_CRYSTAL                                    : Master's Rift Crystal
1503: T7_ARTEFACT_2H_GLAIVE_CRYSTAL                                    : Grandmaster's Rift Crystal
1504: T8_ARTEFACT_2H_GLAIVE_CRYSTAL                                    : Elder's Rift Crystal
1505: T4_ARTEFACT_2H_ARCANESTAFF_CRYSTAL                               : Adept's Startouched Crystal
1506: T5_ARTEFACT_2H_ARCANESTAFF_CRYSTAL                               : Expert's Startouched Crystal
1507: T6_ARTEFACT_2H_ARCANESTAFF_CRYSTAL                               : Master's Startouched Crystal
1508: T7_ARTEFACT_2H_ARCANESTAFF_CRYSTAL                               : Grandmaster's Startouched Crystal
1509: T8_ARTEFACT_2H_ARCANESTAFF_CRYSTAL                               : Elder's Startouched Crystal
1510: T4_ARTEFACT_MAIN_SWORD_CRYSTAL                                   : Adept's Infinite Crystal
1511: T5_ARTEFACT_MAIN_SWORD_CRYSTAL                                   : Expert's Infinite Crystal
1512: T6_ARTEFACT_MAIN_SWORD_CRYSTAL                                   : Master's Infinite Crystal
1513: T7_ARTEFACT_MAIN_SWORD_CRYSTAL                                   : Grandmaster's Infinite Crystal
1514: T8_ARTEFACT_MAIN_SWORD_CRYSTAL                                   : Elder's Infinite Crystal
1515: T4_ARTEFACT_2H_DOUBLEBLADEDSTAFF_CRYSTAL                         : Adept's Mirage Crystal
1516: T5_ARTEFACT_2H_DOUBLEBLADEDSTAFF_CRYSTAL                         : Expert's Mirage Crystal
1517: T6_ARTEFACT_2H_DOUBLEBLADEDSTAFF_CRYSTAL                         : Master's Mirage Crystal
1518: T7_ARTEFACT_2H_DOUBLEBLADEDSTAFF_CRYSTAL                         : Grandmaster's Mirage Crystal
1519: T8_ARTEFACT_2H_DOUBLEBLADEDSTAFF_CRYSTAL                         : Elder's Mirage Crystal
1520: T4_ARTEFACT_2H_FROSTSTAFF_CRYSTAL                                : Adept's Icy Crystal
1521: T5_ARTEFACT_2H_FROSTSTAFF_CRYSTAL                                : Expert's Icy Crystal
1522: T6_ARTEFACT_2H_FROSTSTAFF_CRYSTAL                                : Master's Icy Crystal
1523: T7_ARTEFACT_2H_FROSTSTAFF_CRYSTAL                                : Grandmaster's Icy Crystal
1524: T8_ARTEFACT_2H_FROSTSTAFF_CRYSTAL                                : Elder's Icy Crystal
1525: T4_ARTEFACT_2H_SCYTHE_CRYSTAL                                    : Adept's Edged Crystal
1526: T5_ARTEFACT_2H_SCYTHE_CRYSTAL                                    : Expert's Edged Crystal
1527: T6_ARTEFACT_2H_SCYTHE_CRYSTAL                                    : Master's Edged Crystal
1528: T7_ARTEFACT_2H_SCYTHE_CRYSTAL                                    : Grandmaster's Edged Crystal
1529: T8_ARTEFACT_2H_SCYTHE_CRYSTAL                                    : Elder's Edged Crystal
1530: T4_ARTEFACT_MAIN_MACE_CRYSTAL                                    : Adept's Dreadstorm Crystal
1531: T5_ARTEFACT_MAIN_MACE_CRYSTAL                                    : Expert's Dreadstorm Crystal
1532: T6_ARTEFACT_MAIN_MACE_CRYSTAL                                    : Master's Dreadstorm Crystal
1533: T7_ARTEFACT_MAIN_MACE_CRYSTAL                                    : Grandmaster's Dreadstorm Crystal
1534: T8_ARTEFACT_MAIN_MACE_CRYSTAL                                    : Elder's Dreadstorm Crystal
1535: T4_ARTEFACT_2H_HOLYSTAFF_CRYSTAL                                 : Adept's Exalted Crystal
1536: T5_ARTEFACT_2H_HOLYSTAFF_CRYSTAL                                 : Expert's Exalted Crystal
1537: T6_ARTEFACT_2H_HOLYSTAFF_CRYSTAL                                 : Master's Exalted Crystal
1538: T7_ARTEFACT_2H_HOLYSTAFF_CRYSTAL                                 : Grandmaster's Exalted Crystal
1539: T8_ARTEFACT_2H_HOLYSTAFF_CRYSTAL                                 : Elder's Exalted Crystal
1540: T4_ARTEFACT_2H_DAGGERPAIR_CRYSTAL                                : Adept's Death-Touched Crystal
1541: T5_ARTEFACT_2H_DAGGERPAIR_CRYSTAL                                : Expert's Death-Touched Crystal
1542: T6_ARTEFACT_2H_DAGGERPAIR_CRYSTAL                                : Master's Death-Touched Crystal
1543: T7_ARTEFACT_2H_DAGGERPAIR_CRYSTAL                                : Grandmaster's Death-Touched Crystal
1544: T8_ARTEFACT_2H_DAGGERPAIR_CRYSTAL                                : Elder's Death-Touched Crystal
1545: T4_ARTEFACT_OFF_TOWERSHIELD_UNDEAD                               : Adept's Ancient Shield Core
1546: T5_ARTEFACT_OFF_TOWERSHIELD_UNDEAD                               : Expert's Ancient Shield Core
1547: T6_ARTEFACT_OFF_TOWERSHIELD_UNDEAD                               : Master's Ancient Shield Core
1548: T7_ARTEFACT_OFF_TOWERSHIELD_UNDEAD                               : Grandmaster's Ancient Shield Core
1549: T8_ARTEFACT_OFF_TOWERSHIELD_UNDEAD                               : Elder's Ancient Shield Core
1550: T4_ARTEFACT_OFF_SHIELD_HELL                                      : Adept's Infernal Shield Core
1551: T5_ARTEFACT_OFF_SHIELD_HELL                                      : Expert's Infernal Shield Core
1552: T6_ARTEFACT_OFF_SHIELD_HELL                                      : Master's Infernal Shield Core
1553: T7_ARTEFACT_OFF_SHIELD_HELL                                      : Grandmaster's Infernal Shield Core
1554: T8_ARTEFACT_OFF_SHIELD_HELL                                      : Elder's Infernal Shield Core
1555: T4_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA                             : Adept's Bloodforged Spikes
1556: T5_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA                             : Expert's Bloodforged Spikes
1557: T6_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA                             : Master's Bloodforged Spikes
1558: T7_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA                             : Grandmaster's Bloodforged Spikes
1559: T8_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA                             : Elder's Bloodforged Spikes
1560: T4_ARTEFACT_OFF_SHIELD_AVALON                                    : Adept's Crushed Avalonian Heirloom
1561: T5_ARTEFACT_OFF_SHIELD_AVALON                                    : Expert's Crushed Avalonian Heirloom
1562: T6_ARTEFACT_OFF_SHIELD_AVALON                                    : Master's Crushed Avalonian Heirloom
1563: T7_ARTEFACT_OFF_SHIELD_AVALON                                    : Grandmaster's Crushed Avalonian Heirloom
1564: T8_ARTEFACT_OFF_SHIELD_AVALON                                    : Elder's Crushed Avalonian Heirloom
1565: T4_ARTEFACT_OFF_ORB_MORGANA                                      : Adept's Alluring Crystal
1566: T5_ARTEFACT_OFF_ORB_MORGANA                                      : Expert's Alluring Crystal
1567: T6_ARTEFACT_OFF_ORB_MORGANA                                      : Master's Alluring Crystal
1568: T7_ARTEFACT_OFF_ORB_MORGANA                                      : Grandmaster's Alluring Crystal
1569: T8_ARTEFACT_OFF_ORB_MORGANA                                      : Elder's Alluring Crystal
1570: T4_ARTEFACT_OFF_DEMONSKULL_HELL                                  : Adept's Demonic Jawbone
1571: T5_ARTEFACT_OFF_DEMONSKULL_HELL                                  : Expert's Demonic Jawbone
1572: T6_ARTEFACT_OFF_DEMONSKULL_HELL                                  : Master's Demonic Jawbone
1573: T7_ARTEFACT_OFF_DEMONSKULL_HELL                                  : Grandmaster's Demonic Jawbone
1574: T8_ARTEFACT_OFF_DEMONSKULL_HELL                                  : Elder's Demonic Jawbone
1575: T4_ARTEFACT_OFF_TOTEM_KEEPER                                     : Adept's Inscribed Stone
1576: T5_ARTEFACT_OFF_TOTEM_KEEPER                                     : Expert's Inscribed Stone
1577: T6_ARTEFACT_OFF_TOTEM_KEEPER                                     : Master's Inscribed Stone
1578: T7_ARTEFACT_OFF_TOTEM_KEEPER                                     : Grandmaster's Inscribed Stone
1579: T8_ARTEFACT_OFF_TOTEM_KEEPER                                     : Elder's Inscribed Stone
1580: T4_ARTEFACT_OFF_CENSER_AVALON                                    : Adept's Severed Celestial Keepsake
1581: T5_ARTEFACT_OFF_CENSER_AVALON                                    : Expert's Severed Celestial Keepsake
1582: T6_ARTEFACT_OFF_CENSER_AVALON                                    : Master's Severed Celestial Keepsake
1583: T7_ARTEFACT_OFF_CENSER_AVALON                                    : Grandmaster's Severed Celestial Keepsake
1584: T8_ARTEFACT_OFF_CENSER_AVALON                                    : Elder's Severed Celestial Keepsake
1585: T4_ARTEFACT_OFF_HORN_KEEPER                                      : Adept's Runed Horn
1586: T5_ARTEFACT_OFF_HORN_KEEPER                                      : Expert's Runed Horn
1587: T6_ARTEFACT_OFF_HORN_KEEPER                                      : Master's Runed Horn
1588: T7_ARTEFACT_OFF_HORN_KEEPER                                      : Grandmaster's Runed Horn
1589: T8_ARTEFACT_OFF_HORN_KEEPER                                      : Elder's Runed Horn
1590: T4_ARTEFACT_OFF_JESTERCANE_HELL                                  : Adept's Hellish Handle
1591: T5_ARTEFACT_OFF_JESTERCANE_HELL                                  : Expert's Hellish Handle
1592: T6_ARTEFACT_OFF_JESTERCANE_HELL                                  : Master's Hellish Handle
1593: T7_ARTEFACT_OFF_JESTERCANE_HELL                                  : Grandmaster's Hellish Handle
1594: T8_ARTEFACT_OFF_JESTERCANE_HELL                                  : Elder's Hellish Handle
1595: T4_ARTEFACT_OFF_LAMP_UNDEAD                                      : Adept's Ghastly Candle
1596: T5_ARTEFACT_OFF_LAMP_UNDEAD                                      : Expert's Ghastly Candle
1597: T6_ARTEFACT_OFF_LAMP_UNDEAD                                      : Master's Ghastly Candle
1598: T7_ARTEFACT_OFF_LAMP_UNDEAD                                      : Grandmaster's Ghastly Candle
1599: T8_ARTEFACT_OFF_LAMP_UNDEAD                                      : Elder's Ghastly Candle
1600: T4_ARTEFACT_OFF_TALISMAN_AVALON                                  : Adept's Shattered Avalonian Memento
1601: T5_ARTEFACT_OFF_TALISMAN_AVALON                                  : Expert's Shattered Avalonian Memento
1602: T6_ARTEFACT_OFF_TALISMAN_AVALON                                  : Master's Shattered Avalonian Memento
1603: T7_ARTEFACT_OFF_TALISMAN_AVALON                                  : Grandmaster's Shattered Avalonian Memento
1604: T8_ARTEFACT_OFF_TALISMAN_AVALON                                  : Elder's Shattered Avalonian Memento
1605: T4_ARTEFACT_HEAD_PLATE_UNDEAD                                    : Adept's Ancient Padding
1606: T5_ARTEFACT_HEAD_PLATE_UNDEAD                                    : Expert's Ancient Padding
1607: T6_ARTEFACT_HEAD_PLATE_UNDEAD                                    : Master's Ancient Padding
1608: T7_ARTEFACT_HEAD_PLATE_UNDEAD                                    : Grandmaster's Ancient Padding
1609: T8_ARTEFACT_HEAD_PLATE_UNDEAD                                    : Elder's Ancient Padding
1610: T4_ARTEFACT_ARMOR_PLATE_UNDEAD                                   : Adept's Ancient Chain Rings
1611: T5_ARTEFACT_ARMOR_PLATE_UNDEAD                                   : Expert's Ancient Chain Rings
1612: T6_ARTEFACT_ARMOR_PLATE_UNDEAD                                   : Master's Ancient Chain Rings
1613: T7_ARTEFACT_ARMOR_PLATE_UNDEAD                                   : Grandmaster's Ancient Chain Rings
1614: T8_ARTEFACT_ARMOR_PLATE_UNDEAD                                   : Elder's Ancient Chain Rings
1615: T4_ARTEFACT_SHOES_PLATE_UNDEAD                                   : Adept's Ancient Bindings
1616: T5_ARTEFACT_SHOES_PLATE_UNDEAD                                   : Expert's Ancient Bindings
1617: T6_ARTEFACT_SHOES_PLATE_UNDEAD                                   : Master's Ancient Bindings
1618: T7_ARTEFACT_SHOES_PLATE_UNDEAD                                   : Grandmaster's Ancient Bindings
1619: T8_ARTEFACT_SHOES_PLATE_UNDEAD                                   : Elder's Ancient Bindings
1620: T4_ARTEFACT_HEAD_PLATE_HELL                                      : Adept's Demonic Scraps
1621: T5_ARTEFACT_HEAD_PLATE_HELL                                      : Expert's Demonic Scraps
1622: T6_ARTEFACT_HEAD_PLATE_HELL                                      : Master's Demonic Scraps
1623: T7_ARTEFACT_HEAD_PLATE_HELL                                      : Grandmaster's Demonic Scraps
1624: T8_ARTEFACT_HEAD_PLATE_HELL                                      : Elder's Demonic Scraps
1625: T4_ARTEFACT_ARMOR_PLATE_HELL                                     : Adept's Demonic Plates
1626: T5_ARTEFACT_ARMOR_PLATE_HELL                                     : Expert's Demonic Plates
1627: T6_ARTEFACT_ARMOR_PLATE_HELL                                     : Master's Demonic Plates
1628: T7_ARTEFACT_ARMOR_PLATE_HELL                                     : Grandmaster's Demonic Plates
1629: T8_ARTEFACT_ARMOR_PLATE_HELL                                     : Elder's Demonic Plates
1630: T4_ARTEFACT_SHOES_PLATE_HELL                                     : Adept's Demonic Filling
1631: T5_ARTEFACT_SHOES_PLATE_HELL                                     : Expert's Demonic Filling
1632: T6_ARTEFACT_SHOES_PLATE_HELL                                     : Master's Demonic Filling
1633: T7_ARTEFACT_SHOES_PLATE_HELL                                     : Grandmaster's Demonic Filling
1634: T8_ARTEFACT_SHOES_PLATE_HELL                                     : Elder's Demonic Filling
1635: T4_ARTEFACT_HEAD_PLATE_KEEPER                                    : Adept's Carved Skull Padding
1636: T5_ARTEFACT_HEAD_PLATE_KEEPER                                    : Expert's Carved Skull Padding
1637: T6_ARTEFACT_HEAD_PLATE_KEEPER                                    : Master's Carved Skull Padding
1638: T7_ARTEFACT_HEAD_PLATE_KEEPER                                    : Grandmaster's Carved Skull Padding
1639: T8_ARTEFACT_HEAD_PLATE_KEEPER                                    : Elder's Carved Skull Padding
1640: T4_ARTEFACT_ARMOR_PLATE_KEEPER                                   : Adept's Preserved Animal Fur
1641: T5_ARTEFACT_ARMOR_PLATE_KEEPER                                   : Expert's Preserved Animal Fur
1642: T6_ARTEFACT_ARMOR_PLATE_KEEPER                                   : Master's Preserved Animal Fur
1643: T7_ARTEFACT_ARMOR_PLATE_KEEPER                                   : Grandmaster's Preserved Animal Fur
1644: T8_ARTEFACT_ARMOR_PLATE_KEEPER                                   : Elder's Preserved Animal Fur
1645: T4_ARTEFACT_SHOES_PLATE_KEEPER                                   : Adept's Inscribed Bindings
1646: T5_ARTEFACT_SHOES_PLATE_KEEPER                                   : Expert's Inscribed Bindings
1647: T6_ARTEFACT_SHOES_PLATE_KEEPER                                   : Master's Inscribed Bindings
1648: T7_ARTEFACT_SHOES_PLATE_KEEPER                                   : Grandmaster's Inscribed Bindings
1649: T8_ARTEFACT_SHOES_PLATE_KEEPER                                   : Elder's Inscribed Bindings
1650: T4_ARTEFACT_HEAD_PLATE_AVALON                                    : Adept's Exalted Visor
1651: T5_ARTEFACT_HEAD_PLATE_AVALON                                    : Expert's Exalted Visor
1652: T6_ARTEFACT_HEAD_PLATE_AVALON                                    : Master's Exalted Visor
1653: T7_ARTEFACT_HEAD_PLATE_AVALON                                    : Grandmaster's Exalted Visor
1654: T8_ARTEFACT_HEAD_PLATE_AVALON                                    : Elder's Exalted Visor
1655: T4_ARTEFACT_ARMOR_PLATE_AVALON                                   : Adept's Exalted Plating
1656: T5_ARTEFACT_ARMOR_PLATE_AVALON                                   : Expert's Exalted Plating
1657: T6_ARTEFACT_ARMOR_PLATE_AVALON                                   : Master's Exalted Plating
1658: T7_ARTEFACT_ARMOR_PLATE_AVALON                                   : Grandmaster's Exalted Plating
1659: T8_ARTEFACT_ARMOR_PLATE_AVALON                                   : Elder's Exalted Plating
1660: T4_ARTEFACT_SHOES_PLATE_AVALON                                   : Adept's Exalted Greave
1661: T5_ARTEFACT_SHOES_PLATE_AVALON                                   : Expert's Exalted Greave
1662: T6_ARTEFACT_SHOES_PLATE_AVALON                                   : Master's Exalted Greave
1663: T7_ARTEFACT_SHOES_PLATE_AVALON                                   : Grandmaster's Exalted Greave
1664: T8_ARTEFACT_SHOES_PLATE_AVALON                                   : Elder's Exalted Greave
1665: T4_ARTEFACT_ARMOR_PLATE_FEY                                      : Adept's Veilweaver Carapace
1666: T5_ARTEFACT_ARMOR_PLATE_FEY                                      : Expert's Veilweaver Carapace
1667: T6_ARTEFACT_ARMOR_PLATE_FEY                                      : Master's Veilweaver Carapace
1668: T7_ARTEFACT_ARMOR_PLATE_FEY                                      : Grandmaster's Veilweaver Carapace
1669: T8_ARTEFACT_ARMOR_PLATE_FEY                                      : Elder's Veilweaver Carapace
1670: T4_ARTEFACT_HEAD_PLATE_FEY                                       : Adept's Veilweaver Mandibles
1671: T5_ARTEFACT_HEAD_PLATE_FEY                                       : Expert's Veilweaver Mandibles
1672: T6_ARTEFACT_HEAD_PLATE_FEY                                       : Master's Veilweaver Mandibles
1673: T7_ARTEFACT_HEAD_PLATE_FEY                                       : Grandmaster's Veilweaver Mandibles
1674: T8_ARTEFACT_HEAD_PLATE_FEY                                       : Elder's Veilweaver Mandibles
1675: T4_ARTEFACT_SHOES_PLATE_FEY                                      : Adept's Veilweaver Claws
1676: T5_ARTEFACT_SHOES_PLATE_FEY                                      : Expert's Veilweaver Claws
1677: T6_ARTEFACT_SHOES_PLATE_FEY                                      : Master's Veilweaver Claws
1678: T7_ARTEFACT_SHOES_PLATE_FEY                                      : Grandmaster's Veilweaver Claws
1679: T8_ARTEFACT_SHOES_PLATE_FEY                                      : Elder's Veilweaver Claws
1680: T4_ARTEFACT_HEAD_LEATHER_MORGANA                                 : Adept's Imbued Visor
1681: T5_ARTEFACT_HEAD_LEATHER_MORGANA                                 : Expert's Imbued Visor
1682: T6_ARTEFACT_HEAD_LEATHER_MORGANA                                 : Master's Imbued Visor
1683: T7_ARTEFACT_HEAD_LEATHER_MORGANA                                 : Grandmaster's Imbued Visor
1684: T8_ARTEFACT_HEAD_LEATHER_MORGANA                                 : Elder's Imbued Visor
1685: T4_ARTEFACT_ARMOR_LEATHER_MORGANA                                : Adept's Imbued Leather Folds
1686: T5_ARTEFACT_ARMOR_LEATHER_MORGANA                                : Expert's Imbued Leather Folds
1687: T6_ARTEFACT_ARMOR_LEATHER_MORGANA                                : Master's Imbued Leather Folds
1688: T7_ARTEFACT_ARMOR_LEATHER_MORGANA                                : Grandmaster's Imbued Leather Folds
1689: T8_ARTEFACT_ARMOR_LEATHER_MORGANA                                : Elder's Imbued Leather Folds
1690: T4_ARTEFACT_SHOES_LEATHER_MORGANA                                : Adept's Imbued Soles
1691: T5_ARTEFACT_SHOES_LEATHER_MORGANA                                : Expert's Imbued Soles
1692: T6_ARTEFACT_SHOES_LEATHER_MORGANA                                : Master's Imbued Soles
1693: T7_ARTEFACT_SHOES_LEATHER_MORGANA                                : Grandmaster's Imbued Soles
1694: T8_ARTEFACT_SHOES_LEATHER_MORGANA                                : Elder's Imbued Soles
1695: T4_ARTEFACT_HEAD_LEATHER_HELL                                    : Adept's Demonhide Padding
1696: T5_ARTEFACT_HEAD_LEATHER_HELL                                    : Expert's Demonhide Padding
1697: T6_ARTEFACT_HEAD_LEATHER_HELL                                    : Master's Demonhide Padding
1698: T7_ARTEFACT_HEAD_LEATHER_HELL                                    : Grandmaster's Demonhide Padding
1699: T8_ARTEFACT_HEAD_LEATHER_HELL                                    : Elder's Demonhide Padding
1700: T4_ARTEFACT_ARMOR_LEATHER_HELL                                   : Adept's Demonhide Leather
1701: T5_ARTEFACT_ARMOR_LEATHER_HELL                                   : Expert's Demonhide Leather
1702: T6_ARTEFACT_ARMOR_LEATHER_HELL                                   : Master's Demonhide Leather
1703: T7_ARTEFACT_ARMOR_LEATHER_HELL                                   : Grandmaster's Demonhide Leather
1704: T8_ARTEFACT_ARMOR_LEATHER_HELL                                   : Elder's Demonhide Leather
1705: T4_ARTEFACT_SHOES_LEATHER_HELL                                   : Adept's Demonhide Bindings
1706: T5_ARTEFACT_SHOES_LEATHER_HELL                                   : Expert's Demonhide Bindings
1707: T6_ARTEFACT_SHOES_LEATHER_HELL                                   : Master's Demonhide Bindings
1708: T7_ARTEFACT_SHOES_LEATHER_HELL                                   : Grandmaster's Demonhide Bindings
1709: T8_ARTEFACT_SHOES_LEATHER_HELL                                   : Elder's Demonhide Bindings
1710: T4_ARTEFACT_HEAD_LEATHER_UNDEAD                                  : Adept's Ghastly Visor
1711: T5_ARTEFACT_HEAD_LEATHER_UNDEAD                                  : Expert's Ghastly Visor
1712: T6_ARTEFACT_HEAD_LEATHER_UNDEAD                                  : Master's Ghastly Visor
1713: T7_ARTEFACT_HEAD_LEATHER_UNDEAD                                  : Grandmaster's Ghastly Visor
1714: T8_ARTEFACT_HEAD_LEATHER_UNDEAD                                  : Elder's Ghastly Visor
1715: T4_ARTEFACT_ARMOR_LEATHER_UNDEAD                                 : Adept's Ghastly Leather
1716: T5_ARTEFACT_ARMOR_LEATHER_UNDEAD                                 : Expert's Ghastly Leather
1717: T6_ARTEFACT_ARMOR_LEATHER_UNDEAD                                 : Master's Ghastly Leather
1718: T7_ARTEFACT_ARMOR_LEATHER_UNDEAD                                 : Grandmaster's Ghastly Leather
1719: T8_ARTEFACT_ARMOR_LEATHER_UNDEAD                                 : Elder's Ghastly Leather
1720: T4_ARTEFACT_SHOES_LEATHER_UNDEAD                                 : Adept's Ghastly Bindings
1721: T5_ARTEFACT_SHOES_LEATHER_UNDEAD                                 : Expert's Ghastly Bindings
1722: T6_ARTEFACT_SHOES_LEATHER_UNDEAD                                 : Master's Ghastly Bindings
1723: T7_ARTEFACT_SHOES_LEATHER_UNDEAD                                 : Grandmaster's Ghastly Bindings
1724: T8_ARTEFACT_SHOES_LEATHER_UNDEAD                                 : Elder's Ghastly Bindings
1725: T4_ARTEFACT_HEAD_LEATHER_AVALON                                  : Adept's Augured Padding
1726: T5_ARTEFACT_HEAD_LEATHER_AVALON                                  : Expert's Augured Padding
